provincia|partido|localidad|nombre_localidad|cod_2024
06|469|060|EL TRIUNFO|
06|469|070|LAS TOSCAS|
06|469|080|LINCOLN|
06|469|090|PASTEUR|
06|469|100|ROBERTS|
06|469|110|TRIUNVIRATO|
06|476|010|ARENAS VERDES|
06|476|020|LICENCIADO MATIENZO|
06|476|030|LOBERIA|
06|476|040|PIERES|
06|476|050|SAN MANUEL|
06|476|060|TAMANGUEYU|
06|483|010|ANTONIO CARBONI|
06|483|020|ELVIRA|
06|483|040|LOBOS|
06|483|050|SALVADOR MARIA - LAGUNA DE LOBOS|
06|483|060|ZAPIOLA|
06|483|070|LA FEDERALA|
06|490|010|LOMAS DE ZAMORA|
06|497|020|CARLOS KEEN|
06|497|025|CLUB DE CAMPO LOS PUENTES|
06|497|060|LUJAN|
06|497|070|OLIVERA|
06|497|090|TORRES|
06|497|100|LA CATALINA|
06|497|110|LOMA ESCONDIDA|
06|497|120|ESTANCIA LAS LILAS|
06|505|010|ATALAYA|
06|505|020|BARTOLOME BAVIO|
06|505|030|LOS NARANJOS|
06|505|040|MAGDALENA|
06|505|060|VIEYTES|
06|505|070|JULIO ARDITI|
06|505|080|CAMPING MAGDALENA|
06|511|010|LAS ARMAS|
06|511|020|MAIPU|
06|511|030|SANTO DOMINGO|
06|515|010|MALVINAS ARGENTINAS|
06|518|010|CORONEL VIDAL|
06|518|020|GENERAL PIRAN|
06|518|030|LA ARMONIA|
06|518|040|MAR CHIQUITA|
06|518|050|MAR DE COBO|
06|518|060|SANTA CLARA DEL MAR|
06|518|070|VIVORATA|
06|525|005|BARRIO LISANDRO DE LA TORRE Y SANTA MARTA|
06|525|010|BARRIO SANTA ROSA|
06|525|020|MARCOS PAZ|
06|525|030|VILLARS|
06|532|005|GOLDNEY|
06|532|020|MERCEDES|
06|532|030|JORGE BORN|
06|539|010|MERLO|
06|547|010|ABBOTT|
06|547|020|SAN MIGUEL DEL MONTE|
06|547|030|ZENON VIDELA DORNA|
06|547|040|FRANCISCO A. BERRA|
06|553|010|BALNEARIO SAUCE GRANDE|
06|553|020|MONTE HERMOSO|
06|560|010|MORENO|
06|568|010|MORON|
06|574|010|JOSE JUAN ALMEYRA|
06|574|020|LAS MARIANAS|
06|574|030|NAVARRO|
06|574|040|VILLA MOLL|
06|581|010|CLARAZ|
06|581|025|ENERGIA|
06|581|030|JUAN N. FERNANDEZ|
06|581|040|NECOCHEA - QUEQUEN|
06|581|050|NICANOR OLIVERA|
06|581|060|RAMON SANTAMARINA|
06|581|080|BALNEARIO LOS ANGELES|
06|588|010|FACUNDO QUIROGA|
06|588|020|CARLOS MARIA NAON|
06|588|030|12 DE OCTUBRE|
06|588|040|DUDIGNAC|
06|588|050|LA NI├æA|
06|588|060|FRENCH|
06|588|070|DENNEHY|
06|588|080|MOREA|
06|588|090|NORUMBEGA|
06|588|100|NUEVE DE JULIO|
06|588|110|PATRICIOS|
06|595|010|BLANCAGRANDE|
06|595|030|COLONIA NIEVAS|
06|595|040|COLONIA SAN MIGUEL|
06|595|050|ESPIGAS|
06|595|060|HINOJO|
06|595|070|OLAVARRIA|
06|595|080|RECALDE|
06|595|090|SANTA LUISA|
06|595|100|SIERRA CHICA|
06|595|110|SIERRAS BAYAS|
06|602|010|BAHIA SAN BLAS|
06|602|020|CARDENAL CAGLIERO|
06|602|030|CARMEN DE PATAGONES|
06|602|040|JOSE B. CASAS|
06|602|050|JUAN A. PRADERE|
06|602|060|STROEDER|
06|602|070|VILLALONGA|
06|609|010|CAPITAN CASTRO|
06|609|020|CHICLANA|
06|609|030|FRANCISCO MADERO|
06|609|035|INOCENCIO SOSA|
06|609|040|JUAN JOSE PASO|
06|609|050|MAGDALA|
06|609|060|MONES CAZON|
06|609|070|NUEVA PLATA|
06|609|080|PEHUAJO|
06|609|090|GUANACO|
06|616|010|BOCAYUVA|
06|616|020|DE BARY|
06|616|030|PELLEGRINI|
06|623|010|ACEVEDO|
06|623|020|FONTEZUELA|
06|623|030|GUERRICO|
06|623|040|JUAN A. DE LA PE├æA|
06|623|050|URQUIZA|
