provincia|calle|nombre_calle|cod_2024
2|2190|BERUTI|2071
2|865|ARTURO BERUTI|2072
2|2195|BESARES|2073
2|475|ALMIRANTE ONOFRE BETBEDER|2074
2|2200|BETHLEM|2138
2|2205|BEYROUTH|2075
2|2210|BIALET MASSE|2076
2|610|ANDRES BIANCHI|2077
2|2215|BIARRITZ|2078
2|6830|JUAN A BIBILONI|2001
2|9195|PEDRO BIDEGAIN|2079
2|6750|JOSE JUAN BIEDMA|2080
2|5615|FRANCISCO BILBAO|2081
2|7085|JUSTO A SUAREZ|2081
2|2220|BILLINGHURST|2082
2|2235|BLANCO ENCALADA|2083
2|2240|BLANDENGUES|2084
2|6940|JUAN MANUEL BLANES|2085
2|9740|QUINTINO BOCAYUVA|2086
2|1055|AV BOEDO|2087
2|6835|JUAN A BOERI|2088
2|2245|BOGADO|2089
2|2250|BOGOTA|2090
2|2255|BOLANOS|2091
2|2260|BOLIVAR|2092
2|2265|BOLIVIA|2093
2|2270|BOLLINI|2095
2|2275|BOLONIA|2094
2|2280|BOMBAY|2097
2|6690|JOSE BONIFACIO|2098
2|1135|AV CORONEL ESTEBAN BONORINO|2099
2|8115|MARTINIANO BONORINO|2100
2|2285|BONPLAND|2101
2|2290|BOQUERON|2102
2|6695|JOSE BORCHES|
2|5200|ENZO BORDABEHERE|2157
2|11215|VENTURA BOSCH|2103
2|2300|BOSTON|2104
2|2305|BOUCHARD|2105
2|2310|BOULOGNE SUR MER|2106
2|1060|AV BOYACA|2107
2|2315|BRAGADO|2108
2|7670|LUIS BRAILLE|2109
2|2320|BRANDSEN|2110
2|1065|AV BRASIL|2111
2|4565|DR E BRAUN MENENDEZ|2144
2|2325|BRAVARD|2112
2|8025|MARIO BRAVO|2113
2|8315|MINISTRO BRIN|2114
2|985|AV ALMIRANTE BROWN|2115
2|5665|FRANK BROWN|2116
2|1070|AV BRUIX|2117
2|2330|BRUNO GIORDANO|2118
2|2335|BRUSELAS|2119
2|2340|BUCARELLI|2121
2|2345|BUCAREST|2122
2|2350|BUDAPEST|2124
2|2355|BUERAS|2125
2|405|ALFREDO R BUFANO|2120
2|2360|BULGARIA|2126
2|1445|AV INTENDENTE BULLRICH|2128
2|2365|BULNES|2127
2|6475|INTENDENTE BUNGE|2129
2|2370|BURELA|2130
2|2375|BURGOS|2123
2|1370|AV GERMAN BURMEISTER|2131
2|6840|JUAN A BUSCHIAZZO|2132
2|6000|GENERAL J M BUSTILLO|2133
2|2380|BUTTELER|2134
2|6455|ING ENRIQUE BUTTY|17147
2|2385|BYNON|2135
2|2390|BYRON|2136
2|2395|CAAGUAZU|3001
2|2400|CABALLITO|3002
2|2405|CABELLO|3003
2|6760|JOSE LEON CABEZON|3004
2|1075|AV CABILDO|3005
2|2415|CABOT|3006
2|2410|CABO PABLO T FELS|
2|2420|CABOTO|3242
2|10520|SGTO CABRAL|3007
2|4560|DR DOMINGO CABRED|9017
2|3845|CORONEL CABRER|3008
2|6665|JOSE A CABRERA|3009
2|2425|CACHEUTA|3011
2|2430|CACHI|3012
2|2435|CACHIMAYO|3013
2|2440|CACIQUE|3010
2|2455|CADIZ|3014
2|2460|CAFAYATE|3015
2|285|AGUSTIN R CAFFARENA|3016
2|5620|FRANCISCO CAFFERATA|3017
2|2465|CAGLIARI|3018
2|2470|CAJARAVILLA|3105
2|2475|CALABRIA|20030
2|6780|JOSE MARIA CALAZA|3019
2|2480|CALCENA|3020
2|2485|CALDAS|3021
2|2490|CALDEN|3022
2|3875|CORONEL PEDRO CALDERON DE LA BARCA|3023
2|2495|CALFUCURA|3024
2|2500|CALIFORNIA|1164
2|2505|CALINGASTA|3026
2|1080|AV CALLAO|3030
2|6955|JUAN P CALOU|3027
2|3410|CARLOS CALVO|3028
2|10525|SANTIAGO CALZADILLA|3029
2|3250|CAMACUA|3032
2|3255|CAMARGO|3033
2|3260|CAMARONES|3034
2|5360|EUSTAQUIO CAMBIESES|3035
2|3265|CAMINITO|3036
2|8265|MIGUEL A CAMINO|3037
2|3270|CAMOATI|3038
2|3275|CAMPANA|3039
2|3280|CAMPICHUELO|3040
2|3285|CAMPILLO|3041
2|5800|GASPAR CAMPOS|3042
2|1560|AV LUIS MARIA CAMPOS|3043
2|3290|CAMPOS SALLES|3044
2|3295|CANADA|3045
2|3300|CANADA DE GOMEZ|3056
2|4550|DR BENJAMIN CANARD|3254
2|3305|CANDELARIA|3048
2|8275|MIGUEL CANE|3049
2|3315|CANGALLO|1105
2|3320|CANGAYE|3051
2|3325|CANONERA AMERICA|3259
2|1085|AV CANONIGO MIGUEL C DEL CORRO|4110
2|3330|CANTILO|3053
2|6480|INTENDENTE CANTILO|3054
2|6775|JOSE LUIS CANTILO|3265
2|3335|CANUELAS|3057
2|3345|CAPDEVILA|3058
2|870|ARTURO CAPDEVILA|3025
2|3350|CAPERUCITA|3059
2|3360|CARABELAS|3060
2|1090|AV CARABOBO|3061
2|3365|CARACAS|3062
2|3370|CARANDAY|3063
2|3375|CARAPACHAY|3064
2|3380|CARBAJAL|3065
2|6725|JOSE E CARBALLIDO|3066
2|3800|COMANDANTE FRANCISCO CARBONARI|3067
2|9785|RAMON J CARCANO|3068
2|1125|AV CORONEL CARDENAS|3069
2|3385|CARDOSO|3070
2|3390|CARHUE|3071
2|3395|CARICANCHA|3072
2|3520|CAROYA|3073
2|205|ADOLFO P CARRANZA|3075
2|630|ANGEL J CARRANZA|3074
2|3415|CARLOS CARRANZA|3076
2|3525|CARRASCO|3077
2|5365|EVARISTO CARRIEGO|3078
2|655|ANIBAL TROILO|3079
2|3530|CASACUBERTA|3080
2|3535|CASAFOUST|3981
2|1100|AV CASARES|3082
2|3540|CASCO|3083
2|4630|DR HORACIO CASCO|3084
2|1105|AV CASEROS|3085
2|1110|AV CASTAÑARES|3086
2|3545|CASTANEDA|3087
2|3550|CASTANON|3088
2|5100|EMILIO CASTELAR|3089
2|6605|JOAQUIN CASTELLANOS|3090
2|3555|CASTELLI|3091
2|3560|CASTEX|3092
2|8185|MCAL RAMON CASTILLA|3093
2|3565|CASTILLO|3094
2|3595|CATULO CASTILLO|5003
2|9650|PTE RAMON S CASTILLO|3253
2|3570|CASTRO|3095
2|3575|CASTRO BARROS|3096
2|1300|AV EMILIO CASTRO|3097
2|3580|CATAMARCA|3100
2|3585|CATANIA|3101
2|3590|CATRIEL|3103
2|3600|CAVIA|3104
2|3605|CAYASTA|3106
2|3615|CAZADORES|3262
2|3625|CENTENARIO|3111
2|3630|CERETTI|3115
2|5965|GENERAL DANIEL CERRI|3116
2|3635|CERRILLOS|3117
2|3640|CERRITO|3118
2|3645|CERVANTES|3119
2|3650|CERVINO|3120
2|3660|CESPEDES|3121
2|3665|CHACABUCO|3214
2|3670|CHACO|3215
2|3420|CARLOS CHAGAS|3216
2|3675|CHAJARI|3217
2|3680|CHAMICAL|3218
2|3685|CHARCAS|3219
2|3690|CHARLONE|3220
2|3695|CHARRUA|3221
2|3700|CHASCOMUS|3222
2|6870|JUAN CHASSAING|3223
2|6645|JORGE CHAVEZ|3224
2|3705|CHECOSLOVAQUIA|3225
2|1385|AV GENERAL INDALESIO CHENAUT|3226
2|1115|AV CHICLANA|3227
2|3710|CHICOANA|3228
2|3860|CORONEL MARTINIANO CHILAVERT|3229
2|3715|CHILE|3230
2|3720|CHILECITO|3231
2|3725|CHIMBORAZO|3232
2|3730|CHINA|3233
2|3735|CHIRIGUANOS|3234
2|3740|CHIRIMAY|3235
2|3745|CHIVILCOY|3258
2|3750|CHONINO|3241
2|1120|AV CHORROARIN|3237
2|3755|CHUBUT|3238
2|3760|CHUMBICHA|3239
2|9620|PROFESOR DR PEDRO CHUTRO|3240
2|3765|CIPOLLETTI|3124
2|3770|CISNE|3125
2|1990|BASILIO CITTADINI|3127
2|3775|CIUDAD DE LA PAZ|3128
2|3780|CIUDAD DE SABADELL|3129
2|3785|CIUDADELA|3130
2|5105|EMILIO CIVIT|3131
2|3790|CLAY|3132
2|1155|AV COBO|3133
2|3920|COCHABAMBA|3134
2|3925|COCHICO|3135
2|3930|COCHRANE|3136
2|6930|JUAN M COGHLAN|3137
2|3935|COLIGUE|3138
2|3940|COLIQUEO|3139
2|9395|PIO COLLIVADINO|3149
2|385|ALFREDO COLMO|3140
2|1160|AV COLOMBIA|3142
2|4835|EDUARDO COLOMBO LEONI|3143
2|9465|PASAJE PEATONAL COLOMBO|
2|3945|COLOMBRES|3145
2|3950|COLONIA|3146
2|3955|COLPAYO|3147
2|3960|COLUMBIA|3148
2|7490|LETONIA|30098
2|3970|COMBATE DE LOS POZOS|3150
2|3975|COMBATE DE SAN CARLOS|3264
2|3995|CONCORDIA|3151
2|4000|CONDARCO|3152
2|4005|CONDE|3153
2|4010|CONDOR|3154
2|4015|CONESA|3155
2|1175|AV CONGRESO|3156
2|4595|DR EMILIO R CONI|3157
2|4030|CONSTANTINOPLA|3158
2|4035|CONSTITUCION|3159
2|4040|CONVENCION|3160
2|4045|COOPERACION|3161
2|4050|COPAHUE|3162
2|4055|COPENHAGUE|3163
2|4060|COPERNICO|3164
2|4065|CORBETA AGREABLE|3260
2|4070|CORBETA BELFAST|3261
2|4075|CORBETA URUGUAY|
2|1180|AV CORDOBA|3165
2|4080|COREA|3061
2|8075|MARTIN CORONADO|3166
2|4085|CORONDA|3167
2|4090|CORRALES|3168
2|4100|CORREA|3169
2|4620|DR GUILLERMO CORREA|3171
2|7655|LUCIO CORREA MORALES|3172
2|4105|CORREGIDORES|3173
2|1185|AV CORRIENTES|3174
2|6670|JOSE A CORTEJARENA|3176
2|5835|GERONIMO CORTES|3177
2|4110|CORTINA|3178
2|4115|CORVALAN|3179
2|4120|COSQUIN|3180
2|4840|EDUARDO COSTA|3182
2|4125|COSTA RICA|3183
2|10410|SANTIAGO COSTAMAGNA|3263
2|4130|COTAGAITA|3184
2|4135|COTOCOLLAO|3185
2|8285|MIGUEL COUTO|3186
2|4845|EDUARDO JUAN COUTURE|3187
2|4140|CRAIG|3188
2|4145|CRAINQUEVILLE|3190
2|4150|CRAMER|3189
2|4155|CRANWELL|3191
2|4160|CRESPO|3192
2|9217|PEDRO EDGARDO GIACHINO|30127
2|4180|CRUZ DEL EJE|3193
2|4185|CRUZ DEL SUD|3194
2|8825|OSVALDO CRUZ|3196
2|4200|CUBA|3197
2|6710|JOSE CUBAS|3198
2|4205|CUCHA CUCHA|3199
2|5430|FEDERICO GARCIA LORCA|3199
2|4210|CUENCA|3200
2|10145|RUFINO JOSE CUERVO|3201
2|4215|CULLEN|3202
2|4220|CULPINA|3203
2|5625|FRANCISCO CUNEO|3204
2|5950|GRAHAM R CUNNINGHAME|3205
2|4225|CURA BROCHERO|3206
2|4230|CURAPALIGUE|3207
2|8855|PABLO CURATELLA MANES|13155
2|1570|AV MARIA CURIE|3208
2|4235|CURITYBA|3209
2|4240|CURUPAYTI|3210
2|4245|CURUZU CUATIA|3211
2|7705|LUISITO CUTER|3245
2|4250|CUYO|3212
2|4255|CUZCO|3213
2|4820|EDMUNDO D'AMICIS|4003
2|810|ARNALDO D ESPOSITO|4103
2|7460|LEONARDO DA VINCI|4013
2|4260|DAGUERRE|4001
2|4590|DR ELEODORO DAMIANOVICH|4002
2|4270|DANEL|4004
2|7055|JULIO S DANTAS|4005
2|4275|DANTE|4006
2|1190|AV DARACT|4007
2|6875|JUAN DARQUIER|4009
2|4285|DARREGUEYRA|4010
2|6620|JOHN F KENNEDY ( EX DARREGUEYRA)|4010
2|4290|DARWIN|4011
2|4295|DAVILA|4012
2|360|ALEJANDRO MARIA DE AGUADO|1019
2|6290|HILARIO DE ALMEIRA|1044
2|5110|EMILIO DE ALVEAR|1061
2|7960|MARCELO T DE ALVEAR|1062
2|4755|DR TOMAS M DE ANCHORENA|1078
2|6005|GENERAL JOSE GERVASIO DE ARTIGAS|1125
2|4485|DOMINGO DE AZCUENAGA|1148
2|1140|AV CORONEL J A DE BALDRICH|2016
2|6880|JUAN DE CASTRO|3098
2|10100|ROSALIA DE CASTRO|3243
2|9760|R DE CEPEDA Y AHUMADA|3114
2|10420|SANTIAGO DE COMPOSTELA|20137
2|11250|VICENTE A DE ECHEVARRIA|5008
2|10140|RUFINO DE ELIZALDE|5033
2|9765|R DE ESCALADA DE SAN MARTIN|5069
2|10002|TENIENTE PRIMERO ROBERTO NESTOR ESTEVEZ|30114
2|6035|GENERAL MARTIN DE GAINZA|7003
2|1485|AV JUAN DE GARAY|7026
2|10035|RODRIGO DE IBARROLA|9003
2|2165|BERNARDO DE IRIGOYEN|9019
2|9200|PEDRO DE JEREZ|10020
2|5805|GASPAR M DE JOVELLANOS|4109
2|4300|DE LA CARCOVA|4019
2|4305|DE LA ECONOMIA|4020
2|4495|DON ANSELMO AIETA|1000
2|4310|DE LA INDUSTRIA|4021
2|7985|MARIA A DE LA PAZ Y FIGUEROA|17046
2|9435|PJE DE LA PIEDAD|
2|4760|DR VICTORINO DE LA PLAZA|4024
2|6715|JOSE DE LA QUINTANA|18011
2|6560|J F DE LA ROBLA|4026
2|10965|TTE CANDIDO DE LA SALA|4027
2|4315|DE LA TECNICA|4033
2|1545|AV LISANDRO DE LA TORRE|21019
2|11220|VENTURA DE LA VEGA|4034
2|6080|GREGORIO DE LAFERRERE|12018
2|4320|DE LAS ARTES|4029
2|10425|SANTIAGO DE LAS CARRERAS|4030
2|4325|DE LAS CIENCIAS|4031
2|4330|DE LAS GARANTIAS|4032
2|2170|BERNARDO DE LEON|12099
2|1195|AV DE LOS CONSTITUYENTES|4043
2|1200|AV DE LOS CORRALES|4044
2|1205|AV DE LOS INCAS|4045
2|1210|AV DE LOS INMIGRANTES|4113
2|1215|AV DE LOS ITALIANOS|4046
2|1220|AV DE LOS OMBUES|4515
2|5305|ESTEBAN DE LUCA|12147
2|6720|JOSE DE MATURANA|13052
2|1225|AV DE MAYO|4064
2|5465|FERNANDO DE MONTALVO|13109
2|4450|DIEGO DE OLAVARRIETA|16013
2|70|JOSE DE PAULA Y RODRIGUEZ ALVES|17036
2|4455|DIEGO DE ROJAS|19076
2|7855|MANUEL DE SAN GINES|20034
2|11255|VICENTE DE SIMONE|4099
2|450|ALMIRANTE DANIEL DE SOLIER|20105
2|6890|JUAN DE SOLORZANO PEREIRA|20107
2|8035|MARISCAL ANTONIO J DE SUCRE|20120
2|10040|RODRIGO DE TRIANA|19065
2|8290|MIGUEL DE UNAMUNO|22005
2|1925|BALTASAR DE UNQUERA|22007
2|5630|FRANCISCO DE UZAL|4068
2|9210|PEDRO DE VALDIVIA|23003
2|270|AGUSTIN DE VEDIA|23017
2|5160|ENRIQUE DE VEDIA|23018
2|5635|FRANCISCO DE VIEDMA|23054
2|5640|FRANCISCO DE VITTORIA|23075
2|4335|DEAN FUNES|4014
2|225|AGENTE DOMINGO DEDICO|4015
2|4340|DEFENSA|4016
2|4345|DEHEZA|4017
2|4350|DEKAY|4018
2|4355|DEL BANADO|4035
2|4360|DEL BARCO CENTENERA|3112
2|4365|DEL BUEN ORDEN|4036
2|1230|AV DEL CAMPO|4037
2|4370|DEL CARMEN|4038
2|1715|AV SALVADOR MARIA DEL CARRIL|4039
2|6895|JUAN DEL CASTILLO|4107
2|4375|DEL COLEGIO|4040
2|4380|DEL COMERCIO|4041
2|1235|AV DEL FOMENTISTA|19056
2|1240|AV DEL LIBERTADOR|12107
2|4385|DEL PARQUE|4048
2|4390|DEL PROGRESO|4051
2|4395|DEL SIGNO|4052
2|1275|AV DR RICARDO BALBIN|4053
2|4400|DEL TEMPLE|4054
2|4405|DEL TIGRE|4055
2|1330|AV EVA PERON|4056
2|790|ARISTOBULO DEL VALLE|4057
2|4570|DR E DEL VALLE IBERLUCEA|4059
2|7990|MARIA REMEDIOS DEL VALLE|4058
2|4410|DELAMBRE|4022
2|4420|DELGADO|4042
2|3465|CARLOS M DELLA PAOLERA|4105
2|1775|AV TTE GENERAL LUIS DELLEPIANE|4102
2|7675|LUIS DELLEPIANE|4060
2|4425|DEMARIA|4061
2|6520|ISIDORO DEMARIA|4062
2|8010|MARIANO DEMARIA|4063
2|1245|AV DERQUI|4065
2|4430|DESAGUADERO|4066
2|8630|NICOLAS DESCALZI|4112
2|4435|DESEADO|4067
2|5545|FORTUNATO DEVOTO|4069
2|4440|DIAMANTE|4070
2|545|ANA DIAZ|4114
2|1820|AVELINO DIAZ|4071
2|5955|GENERAL CESAR DIAZ|4072
2|1130|AV CORONEL DIAZ|4073
2|4445|DIAZ COLODRERO|3141
2|1250|AV DIAZ VELEZ|4074
2|4525|DR ADOLFO DICKMAN|4075
2|3795|CLEMENTE DIEZ DE MEDINA|4076
2|4465|DINAMARCA|4077
2|1255|AV DIRECTORIO|4078
2|5185|ENRIQUE SANTOS DISCEPOLO|19012
2|4475|DOBLAS|4079
2|4480|DOLORES|4081
2|4500|DON BOSCO|4084
